CRSP_ID,variable,value
S.04.4.92.001,County_Name,Beltrami
S.69.4.65.003,County_Name,St. Louis
S.43.4.25.001,County_Name,McLeod
S.69.4.66.001,County_Name,St. Louis
S.69.9.3047.001,County_Name,St. Louis
S.69.4.66.003,County_Name,St. Louis
S.69.4.67.001,County_Name,St. Louis
S.56.4.1.007,County_Name,Otter Tail
S.18.4.30.001,County_Name,Crow Wing
S.73.4.17.004,County_Name,Stearns
S.56.4.96.001,County_Name,Otter Tail
S.04.4.47.001,County_Name,Beltrami
S.73.7.186.001,County_Name,Stearns
S.04.4.90.001,County_Name,Beltrami
S.69.4.25.008,County_Name,St. Louis
S.69.9.3075.001,County_Name,St. Louis
S.09.4.1.007,County_Name,Carlton
S.69.7.233.002,County_Name,St. Louis
S.69.9.8169.001,County_Name,St. Louis
S.73.4.18.002,County_Name,Stearns
017-040,County_Name,Freeborn
S.04.4.36.002,County_Name,Beltrami
S.69.4.78.001,County_Name,St. Louis
S.73.4.8.002,County_Name,Stearns
S.73.4.10.001,County_Name,Stearns
S.73.4.2.004,County_Name,Stearns
S.49.4.39.001,County_Name,Morrison
S.69.4.8.003,County_Name,St. Louis
S.69.4.8.005,County_Name,St. Louis
S.86.4.16.002,County_Name,Wright
S.69.4.81.001,County_Name,St. Louis
S.69.4.83.001,County_Name,St. Louis
S.56.4.17.001,County_Name,Otter Tail
S.69.4.86.001,County_Name,St. Louis
S.69.4.96.001,County_Name,St. Louis
S.69.9.3092.001,County_Name,St. Louis
S.69.4.89.001,County_Name,St. Louis
S.73.4.13.006,County_Name,Stearns
S.69.4.9.002,County_Name,St. Louis
S.69.4.90.001,County_Name,St. Louis
S.69.4.91.001,County_Name,St. Louis
S.18.4.20.001,County_Name,Crow Wing
S.69.4.93.001,County_Name,St. Louis
014-012,County_Name,Freeborn
S.69.4.64.001,County_Name,St. Louis
S.69.4.95.002,County_Name,St. Louis
S.73.7.158.001,County_Name,Stearns
012-040,County_Name,Freeborn
S.73.4.38.001,County_Name,Stearns
S.69.8.471.001,County_Name,St. Louis
S.86.4.3.004,County_Name,Wright
S.69.9.3131.001,County_Name,St. Louis
S.69.7.1011.001,County_Name,St. Louis
S.69.7.1012.001,County_Name,St. Louis
S.69.7.1013.001,County_Name,St. Louis
S.69.7.337.001,County_Name,St. Louis
S.56.4.42.001,County_Name,Otter Tail
026-030,County_Name,Freeborn
S.69.7.144.001,County_Name,St. Louis
S.69.7.157.001,County_Name,St. Louis
S.69.7.160.002,County_Name,St. Louis
S.69.7.161.001,County_Name,St. Louis
S.69.7.163.001,County_Name,St. Louis
S.69.7.164.001,County_Name,St. Louis
S.69.7.165.002,County_Name,St. Louis
S.69.7.166.001,County_Name,St. Louis
S.69.7.167.001,County_Name,St. Louis
S.69.7.169.001,County_Name,St. Louis
S.69.7.170.001,County_Name,St. Louis
S.69.7.171.001,County_Name,St. Louis
S.69.7.172.001,County_Name,St. Louis
S.69.7.180.001,County_Name,St. Louis
S.69.7.183.001,County_Name,St. Louis
S.69.7.184.001,County_Name,St. Louis
S.69.7.489.001,County_Name,St. Louis
S.69.7.184.003,County_Name,St. Louis
S.69.7.185.001,County_Name,St. Louis
S.69.7.186.001,County_Name,St. Louis
S.69.7.186.004,County_Name,St. Louis
S.69.7.186.005,County_Name,St. Louis
S.69.7.189.001,County_Name,St. Louis
S.69.7.191.001,County_Name,St. Louis
S.69.7.192.001,County_Name,St. Louis
S.69.7.193.001,County_Name,St. Louis
S.69.7.194.001,County_Name,St. Louis
S.69.7.195.001,County_Name,St. Louis
S.69.7.196.001,County_Name,St. Louis
S.56.4.65.003,County_Name,Otter Tail
S.49.4.43.002,County_Name,Morrison
S.69.7.200.001,County_Name,St. Louis
S.69.7.201.001,County_Name,St. Louis
S.69.7.201.002,County_Name,St. Louis
S.69.7.202.001,County_Name,St. Louis
S.69.7.203.001,County_Name,St. Louis
S.69.7.204.001,County_Name,St. Louis
S.69.7.207.001,County_Name,St. Louis
S.69.7.207.002,County_Name,St. Louis
S.69.7.208.001,County_Name,St. Louis
S.69.7.21.001,County_Name,St. Louis
S.69.7.210.001,County_Name,St. Louis
S.69.7.211.001,County_Name,St. Louis
S.69.7.213.001,County_Name,St. Louis
S.69.7.215.001,County_Name,St. Louis
S.69.7.22.001,County_Name,St. Louis
S.69.7.220.001,County_Name,St. Louis
S.69.7.221.001,County_Name,St. Louis
S.69.7.222.001,County_Name,St. Louis
S.49.7.283.001,County_Name,Morrison
S.69.7.223.002,County_Name,St. Louis
S.69.7.223.003,County_Name,St. Louis
S.69.7.223.004,County_Name,St. Louis
S.69.7.223.005,County_Name,St. Louis
S.69.7.223.006,County_Name,St. Louis
S.69.7.223.007,County_Name,St. Louis
S.69.7.224.001,County_Name,St. Louis
S.69.7.224.002,County_Name,St. Louis
S.69.7.225.001,County_Name,St. Louis
S.69.7.226.001,County_Name,St. Louis
S.69.7.227.001,County_Name,St. Louis
S.47.4.33.001,County_Name,Meeker
S.69.7.230.002,County_Name,St. Louis
S.69.7.230.003,County_Name,St. Louis
S.69.7.231.001,County_Name,St. Louis
S.69.7.232.001,County_Name,St. Louis
S.73.4.67.001,County_Name,Stearns
S.69.7.232.003,County_Name,St. Louis
S.69.7.233.001,County_Name,St. Louis
S.69.9.3081.001,County_Name,St. Louis
S.73.7.167.002,County_Name,Stearns
S.69.7.234.002,County_Name,St. Louis
S.69.7.238.001,County_Name,St. Louis
S.69.7.238.002,County_Name,St. Louis
S.69.7.239.001,County_Name,St. Louis
S.56.4.5.002,County_Name,Otter Tail
S.69.7.243.001,County_Name,St. Louis
S.73.4.60.001,County_Name,Stearns
S.69.7.246.001,County_Name,St. Louis
S.69.7.246.002,County_Name,St. Louis
S.69.7.247.001,County_Name,St. Louis
S.69.7.250.001,County_Name,St. Louis
S.69.7.252.001,County_Name,St. Louis
S.69.7.255.001,County_Name,St. Louis
S.73.4.23.002,County_Name,Stearns
045-020,County_Name,Freeborn
S.69.7.258.002,County_Name,St. Louis
S.69.7.259.001,County_Name,St. Louis
S.69.9.3070.001,County_Name,St. Louis
S.69.7.259.003,County_Name,St. Louis
S.69.7.259.004,County_Name,St. Louis
S.69.7.259.005,County_Name,St. Louis
S.69.7.260.001,County_Name,St. Louis
S.69.7.260.002,County_Name,St. Louis
S.69.7.262.001,County_Name,St. Louis
S.69.7.266.001,County_Name,St. Louis
S.69.7.266.003,County_Name,St. Louis
S.69.7.267.001,County_Name,St. Louis
S.69.7.268.001,County_Name,St. Louis
S.56.4.35.004,County_Name,Otter Tail
S.69.7.269.002,County_Name,St. Louis
S.69.7.271.001,County_Name,St. Louis
S.69.7.273.001,County_Name,St. Louis
S.69.7.273.002,County_Name,St. Louis
S.69.7.274.002,County_Name,St. Louis
S.69.8.982.001,County_Name,St. Louis
S.55.7.146.001,County_Name,Olmsted
S.69.7.278.001,County_Name,St. Louis
S.69.7.279.001,County_Name,St. Louis
S.49.7.234.001,County_Name,Morrison
S.49.4.104.001,County_Name,Morrison
S.69.7.281.002,County_Name,St. Louis
S.69.7.281.003,County_Name,St. Louis
S.69.7.282.001,County_Name,St. Louis
S.69.7.283.001,County_Name,St. Louis
S.69.7.284.001,County_Name,St. Louis
S.18.4.11.001,County_Name,Crow Wing
S.69.9.3033.001,County_Name,St. Louis
S.49.4.103.001,County_Name,Morrison
S.69.7.287.001,County_Name,St. Louis
S.69.7.288.001,County_Name,St. Louis
S.69.9.3145.001,County_Name,St. Louis
S.69.7.289.002,County_Name,St. Louis
S.69.7.290.002,County_Name,St. Louis
S.69.7.290.004,County_Name,St. Louis
S.69.7.291.001,County_Name,St. Louis
S.56.7.122.001,County_Name,Otter Tail
S.69.7.294.001,County_Name,St. Louis
S.69.7.296.002,County_Name,St. Louis
S.43.4.107.001,County_Name,McLeod
S.69.7.302.002,County_Name,St. Louis
S.69.7.289.001,County_Name,St. Louis
S.69.7.303.002,County_Name,St. Louis
S.69.7.303.003,County_Name,St. Louis
S.69.7.303.004,County_Name,St. Louis
S.69.7.304.001,County_Name,St. Louis
S.69.7.305.001,County_Name,St. Louis
S.69.7.305.002,County_Name,St. Louis
S.69.7.306.001,County_Name,St. Louis
S.69.7.483.001,County_Name,St. Louis
S.69.7.307.002,County_Name,St. Louis
S.69.7.308.001,County_Name,St. Louis
S.69.7.308.002,County_Name,St. Louis
S.69.7.309.001,County_Name,St. Louis
S.69.7.310.001,County_Name,St. Louis
S.73.4.17.006,County_Name,Stearns
S.69.7.310.003,County_Name,St. Louis
S.69.7.311.001,County_Name,St. Louis
S.69.7.312.001,County_Name,St. Louis
S.69.4.112.001,County_Name,St. Louis
S.69.7.313.001,County_Name,St. Louis
S.69.7.313.002,County_Name,St. Louis
S.69.7.314.001,County_Name,St. Louis
S.69.7.315.001,County_Name,St. Louis
S.69.7.316.001,County_Name,St. Louis
S.69.7.317.001,County_Name,St. Louis
013-020,County_Name,Freeborn
S.69.7.318.001,County_Name,St. Louis
S.69.7.318.002,County_Name,St. Louis
S.69.7.319.001,County_Name,St. Louis
S.69.7.320.001,County_Name,St. Louis
S.69.7.322.001,County_Name,St. Louis
S.69.7.322.002,County_Name,St. Louis
S.69.7.328.001,County_Name,St. Louis
S.69.7.329.001,County_Name,St. Louis
S.43.7.92.001,County_Name,McLeod
S.69.7.330.001,County_Name,St. Louis
S.69.7.332.001,County_Name,St. Louis
S.69.7.333.001,County_Name,St. Louis
S.56.4.24.001,County_Name,Otter Tail
S.09.4.26.002,County_Name,Carlton
S.69.7.338.001,County_Name,St. Louis
S.69.7.339.001,County_Name,St. Louis
S.69.7.340.001,County_Name,St. Louis
S.69.7.341.001,County_Name,St. Louis
S.69.7.961.001,County_Name,St. Louis
S.69.7.343.002,County_Name,St. Louis
S.69.7.344.001,County_Name,St. Louis
S.69.7.344.002,County_Name,St. Louis
S.69.7.344.003,County_Name,St. Louis
S.69.7.344.004,County_Name,St. Louis
S.69.7.345.001,County_Name,St. Louis
S.69.7.346.001,County_Name,St. Louis
S.69.7.351.001,County_Name,St. Louis
S.69.7.353.001,County_Name,St. Louis
S.69.7.355.001,County_Name,St. Louis
S.69.7.356.001,County_Name,St. Louis
S.69.7.356.002,County_Name,St. Louis
S.69.7.356.003,County_Name,St. Louis
S.69.7.358.001,County_Name,St. Louis
S.56.4.83.001,County_Name,Otter Tail
S.69.7.360.001,County_Name,St. Louis
S.69.7.360.002,County_Name,St. Louis
S.69.7.360.003,County_Name,St. Louis
S.69.7.364.002,County_Name,St. Louis
S.86.4.2.004,County_Name,Wright
S.69.7.365.002,County_Name,St. Louis
S.69.7.366.001,County_Name,St. Louis
S.69.7.367.001,County_Name,St. Louis
S.69.7.368.001,County_Name,St. Louis
S.69.7.369.001,County_Name,St. Louis
S.69.7.372.001,County_Name,St. Louis
S.69.7.374.001,County_Name,St. Louis
S.69.7.379.001,County_Name,St. Louis
S.69.7.381.001,County_Name,St. Louis
S.86.4.30.0010,County_Name,Wright
S.69.7.384.001,County_Name,St. Louis
S.69.7.385.001,County_Name,St. Louis
S.69.7.386.001,County_Name,St. Louis
S.09.4.2.001,County_Name,Carlton
S.69.7.391.001,County_Name,St. Louis
S.69.7.392.001,County_Name,St. Louis
S.69.7.392.002,County_Name,St. Louis
S.69.7.393.001,County_Name,St. Louis
S.43.4.32.001,County_Name,McLeod
S.69.7.403.001,County_Name,St. Louis
S.47.4.14.002,County_Name,Meeker
S.55.4.7.003,County_Name,Olmsted
S.56.4.9.001,County_Name,Otter Tail
S.69.7.406.001,County_Name,St. Louis
S.69.7.753.001,County_Name,St. Louis
S.69.7.408.003,County_Name,St. Louis
S.69.7.409.001,County_Name,St. Louis
S.69.7.410.001,County_Name,St. Louis
S.43.7.69.001,County_Name,McLeod
S.69.7.413.001,County_Name,St. Louis
030-020,County_Name,Freeborn
S.13.4.30.007,County_Name,Chisago
S.69.7.416.001,County_Name,St. Louis
S.69.7.418.001,County_Name,St. Louis
S.69.7.420.002,County_Name,St. Louis
S.69.7.421.001,County_Name,St. Louis
S.69.7.422.001,County_Name,St. Louis
S.69.7.422.002,County_Name,St. Louis
S.69.7.422.003,County_Name,St. Louis
S.69.7.422.004,County_Name,St. Louis
S.69.7.424.001,County_Name,St. Louis
S.69.7.425.001,County_Name,St. Louis
S.69.7.426.001,County_Name,St. Louis
S.69.7.427.001,County_Name,St. Louis
S.43.4.1.003,County_Name,McLeod
S.69.7.430.001,County_Name,St. Louis
S.69.7.431.001,County_Name,St. Louis
S.69.7.431.002,County_Name,St. Louis
S.69.7.432.001,County_Name,St. Louis
S.69.7.433.001,County_Name,St. Louis
S.69.7.434.001,County_Name,St. Louis
S.69.7.434.002,County_Name,St. Louis
S.69.7.436.001,County_Name,St. Louis
S.69.7.436.002,County_Name,St. Louis
S.69.7.437.001,County_Name,St. Louis
S.69.7.442.001,County_Name,St. Louis
S.13.4.37.003,County_Name,Chisago
S.56.4.24.004,County_Name,Otter Tail
S.69.7.445.002,County_Name,St. Louis
S.69.7.447.001,County_Name,St. Louis
S.69.7.448.001,County_Name,St. Louis
S.69.7.449.001,County_Name,St. Louis
S.69.7.450.001,County_Name,St. Louis
S.69.7.451.001,County_Name,St. Louis
S.18.4.28.001,County_Name,Crow Wing
S.69.7.452.002,County_Name,St. Louis
S.69.7.452.003,County_Name,St. Louis
S.69.9.3064.001,County_Name,St. Louis
S.69.7.453.002,County_Name,St. Louis
S.69.7.455.002,County_Name,St. Louis
S.18.4.3.001,County_Name,Crow Wing
S.69.7.457.002,County_Name,St. Louis
S.69.7.460.001,County_Name,St. Louis
S.47.4.20.002,County_Name,Meeker
S.69.7.464.001,County_Name,St. Louis
S.69.7.467.001,County_Name,St. Louis
S.69.7.467.002,County_Name,St. Louis
S.69.7.467.003,County_Name,St. Louis
S.69.7.468.001,County_Name,St. Louis
S.69.7.468.002,County_Name,St. Louis
S.69.7.469.001,County_Name,St. Louis
S.69.7.472.001,County_Name,St. Louis
S.69.7.472.002,County_Name,St. Louis
S.69.7.474.001,County_Name,St. Louis
S.69.7.475.001,County_Name,St. Louis
S.69.7.476.001,County_Name,St. Louis
S.69.7.477.001,County_Name,St. Louis
S.86.4.9.001,County_Name,Wright
S.69.7.481.001,County_Name,St. Louis
S.69.7.481.002,County_Name,St. Louis
S.69.9.3393.001,County_Name,St. Louis
S.73.7.112.001,County_Name,Stearns
S.69.7.487.001,County_Name,St. Louis
S.69.7.487.002,County_Name,St. Louis
S.69.7.488.001,County_Name,St. Louis
S.69.7.488.002,County_Name,St. Louis
S.43.4.2.002,County_Name,McLeod
S.49.4.28.001,County_Name,Morrison
S.69.7.491.001,County_Name,St. Louis
S.69.7.491.003,County_Name,St. Louis
S.69.7.491.004,County_Name,St. Louis
S.69.7.492.001,County_Name,St. Louis
S.69.7.492.002,County_Name,St. Louis
S.69.7.492.004,County_Name,St. Louis
S.69.7.494.001,County_Name,St. Louis
S.69.7.495.001,County_Name,St. Louis
S.69.7.495.002,County_Name,St. Louis
S.69.9.3190.001,County_Name,St. Louis
S.69.7.498.001,County_Name,St. Louis
S.69.7.500.001,County_Name,St. Louis
S.69.7.501.001,County_Name,St. Louis
S.69.7.501.003,County_Name,St. Louis
S.69.7.505.001,County_Name,St. Louis
S.69.7.505.002,County_Name,St. Louis
S.69.7.508.001,County_Name,St. Louis
S.69.7.512.001,County_Name,St. Louis
029-023,County_Name,Freeborn
S.69.7.755.006,County_Name,St. Louis
S.69.7.517.001,County_Name,St. Louis
HEN.350,County_Name,Hennepin
S.69.7.629.001,County_Name,St. Louis
S.69.7.242.001,County_Name,St. Louis
S.69.7.527.001,County_Name,St. Louis
S.69.7.528.001,County_Name,St. Louis
S.69.7.528.002,County_Name,St. Louis
S.69.7.529.001,County_Name,St. Louis
S.69.7.530.001,County_Name,St. Louis
S.69.7.530.003,County_Name,St. Louis
S.69.7.531.001,County_Name,St. Louis
S.69.7.534.001,County_Name,St. Louis
S.69.7.534.002,County_Name,St. Louis
S.69.7.535.001,County_Name,St. Louis
S.69.7.535.002,County_Name,St. Louis
S.69.7.537.001,County_Name,St. Louis
S.69.7.540.001,County_Name,St. Louis
S.69.4.29.002,County_Name,St. Louis
S.69.7.541.001,County_Name,St. Louis
S.69.7.542.001,County_Name,St. Louis
S.69.7.546.001,County_Name,St. Louis
S.69.7.547.001,County_Name,St. Louis
S.69.7.547.002,County_Name,St. Louis
S.69.7.550.001,County_Name,St. Louis
S.69.7.551.001,County_Name,St. Louis
S.69.7.551.002,County_Name,St. Louis
S.69.7.553.001,County_Name,St. Louis
