CRSP_ID,County_Name,Start_Description,End_Description
S.13.7.55.001,Chisago,T-Intersection of 517th St and Rushseba Trail,Intersection of W 4th St and S Bremer Ave
S.13.7.55.002,Chisago,T-Intersection of 517th St and Government Rd,Intersection of Government Rd and 530th St
031-030,Freeborn,W LIM CLARKS GROVE,CNW RAILROAD
S.43.4.6.001,McLeod,McLeod CTH 1,Shady Creek Dr/Fairlawn Ave E
S.13.7.59.001,Chisago,Intersection of 460th St and Galaxy Ave,Intersection of 460th St and Government Rd
S.49.4.102.001,Morrison,CSAH 28,CSAH 14
076-010,Freeborn,CSAH #14,HIGH STREET IN EMMONS.
S.73.4.55.001,Stearns,Wells St,Main St
S.69.7.945.001,St. Louis,Main Street,Winton Point Rd
S.13.7.67.001,Chisago,Intersection of Keystone Ave and St. Croix Trail,Intersection of 375th St and Keystone Ave
S.69.9.3050.001,St. Louis,E Donnywood Cir,E Donnywood Cir
S.13.7.68.001,Chisago,Intersection of Falcon Ave and St. Croix Trail,1 Mile South of T-Intersection of 370th St and Lyons St
S.86.7.153.001,Wright,1st St SW,Cokato St W
HEN.176,Hennepin,@ COMM DRWY-L/AUDITORS ROAD-R,N OF AUDITORS TO S OF CSAH 15
S.04.4.47.002,Beltrami,Hwy 71,0.32 miles N of Hwy 71
014-011,Freeborn,STATE ST ON MAIN,TH 69
S.47.4.39.001,Meeker,Pegasus Ave W,Taurus Ave W
S.13.7.76.001,Chisago,T-Intersection of Redwing Ave and Furuby Rd,T-Intersection of 350th St and Redwing Ave
S.13.7.77.001,Chisago,Intersection of Mattson Ln and Stacy Trail,Intersection of Lofton Ave and Lake Blvd
S.04.4.93.001,Beltrami,Main St W,Clark Ave N
S.13.7.78.001,Chisago,T-Intersection of Falcon Ave N and Stacy Trail,Intersection of 360th St and Falcon Ave N
S.13.7.79.001,Chisago,T-Intersection of Redwing Ave and 350th St,T-Intersection of 345th St and Vista Rd
045-110,Freeborn,CSAH 35,NORTH LIMITS OF GENEVA
S.13.7.81.003,Chisago,Intersection of Reed Ave and Wild Mountain Rd,Intersection of Reed Ave and Park Trail
S.69.9.3077.001,St. Louis,"",Sand Lake Rd
S.13.7.81.005,Chisago,T-Intersection of 410th St and Sunrise Rd,T-Intersection of Reed Ave and 410th St
S.47.4.4.002,Meeker,0.80 mile NE of Meeker CTH 15,0.37 mile east of 240th St
S.73.4.57.001,Stearns,1st St,Central Ave
S.13.7.86.002,Chisago,Intersection of Redwing Ave and Pleasant Valley Rd,T-Intersection of Redwing Ave and St. Croix Trail
S.43.4.103.001,McLeod,MNTH 22/Front St,MNTH 22/Front St
S.47.4.42.001,Meeker,CSAH 11/E 5th St,MNTH 24
S.69.4.10.001,St. Louis,Arnold Rd (CSAH 9/CSAH 36),Jean Duluth Rd (CSAH 37)
S.69.4.10.002,St. Louis,Lester River Rd (CSAH 12),Jean Duluth Rd (CSAH 37)
S.73.4.59.001,Stearns,State St,State St
S.69.4.100.002,St. Louis,Hwy 110 (CSAH 110),W 3rd Avenue N
035-031,Freeborn,CSAH 45,EAST LIMITS GENEVA
S.69.4.101.002,St. Louis,US Hwy 53,Lookout Point Entrance
S.73.7.186.003,Stearns,N 8th Ave W,Co Rd 13
025-021,Freeborn,TH 13,E LIMS MANCHESTER
S.69.4.103.002,St. Louis,MN-169,MN-135
S.69.4.103.008,St. Louis,Williams Addition Rd,MN-169
S.69.4.104.001,St. Louis,CSAH 77,Hard Hat Rd
S.69.4.106.001,St. Louis,US Hwy 53,CSAH 65
S.73.7.197.002,Stearns,0.80 miles S of Hwy 55,Hwy 55
S.69.4.107.001,St. Louis,CSAH 356,CSAH 5
S.69.4.108.001,St. Louis,CSAH 4,CSAH 607
S.69.4.108.002,St. Louis,CSAH 607,CSAH 16
S.69.4.117.001,St. Louis,Fernberg Rd,Driveway
S.69.4.109.001,St. Louis,CSAH 7,1st Ave
S.73.4.62.001,Stearns,Washington Ave,River St
S.69.4.11.002,St. Louis,N Boundary Ave,Stark Rd
S.04.4.94.001,Beltrami,Kelliher Rd SW,Clark Ave N
028-010,Freeborn,TH 251,N LIMITS HOLLANDALE
S.73.4.56.001,Stearns,Hwy 55,Hwy 55
S.69.4.110.005,St. Louis,S Main Street,CSAH 100
HEN.16,Hennepin,N OF MNTH 7 TO N LIM ST BONI,N OF MNTH 7 TO N LIM ST BONI
S.49.4.14.002,Morrison,E LIMITS RANDALL,CSAH 1
S.47.4.43.001,Meeker,Milkyway St N,MNTH 7
S.69.4.114.001,St. Louis,CSAH 5,MN-73
S.43.4.116.001,McLeod,McLeod CTH 9/Baker Ave W,McLeod CTH 6
S.69.9.3144.001,St. Louis,Ely Babbitt Rd,""
S.69.4.116.001,St. Louis,CSAH 471,CSAH 24
S.69.4.116.002,St. Louis,CSAH 467,CSAH 471
S.69.4.116.003,St. Louis,Driveway,CSAH 679
010-010,Freeborn,CSAH 29,E LIM FREEBORN
S.47.4.27.002,Meeker,MNTH 15,0.35 mile east of 722nd Ave
051-010,Freeborn,TH 109,POWERS AV-MAIN ST
S.69.4.119.001,St. Louis,Willow River Rd,CSAH 23
S.69.4.12.001,St. Louis,N 60th Avenue E,Driveway
S.73.4.79.001,Stearns,Beltliner Rd,Fairy Lake Rd S
S.09.4.55.001,Carlton,Washington Street,Prospect Avenue
S.69.4.121.001,St. Louis,Arnold Rd (CSAH 9),Howard Gnesen Rd
S.49.7.252.001,Morrison,CSAH 251,MN TH 25
S.69.9.3130.001,St. Louis,Britt Bypass,""
S.73.7.170.002,Stearns,4th Ave NW,W 6th St N
S.69.7.888.001,St. Louis,Old Miller Trunk Hwy,Segment terminates at road end
S.69.0.72.001,St. Louis,Elm Street,W 7th Avenue
S.55.4.5.002,Olmsted,USTH 14,13th St NW
S.47.4.11.002,Meeker,USTH 1,Meeker CTH 34
S.69.9.3045.001,St. Louis,Dewey Lake Rd,""
S.69.4.132.001,St. Louis,MN-37,MN-37
S.69.9.3091.001,St. Louis,1st St,1st St
016-030,Freeborn,S LIMS TWIN LAKES,US 69
S.56.4.67.004,Otter Tail,CR 130,CSAH 6
S.69.9.3082.001,St. Louis,2nd St,Hoodoo Rd
HEN.78,Hennepin,@ CSAH 11,N OF CSAH 11 TO S OF CHIPPEWA
S.86.4.57.001,Wright,Co Rd 8 S,Hwy 55
014-010,Freeborn,TH 69,MAIN ST ON STATE
S.69.4.138.002,St. Louis,Woodland Ct,CSAH 21
S.69.4.139.001,St. Louis,MN-1,W Olson Rd (CSAH 114)
S.69.4.14.001,St. Louis,Midway Road,S Ugstad Rd
S.69.4.14.002,St. Louis,S Ugstad Rd,U.S. Rte 2
S.09.4.16.001,Carlton,MN 33,Scanlon Way/CR 45
S.69.4.142.001,St. Louis,Fayal Rd (CSAH 7),US Hwy 53
S.69.4.144.001,St. Louis,Fayal Rd (CSAH 7),Jones St
S.69.4.148.001,St. Louis,Douglas Ct,CSAH 302
S.73.4.65.003,Stearns,0.46 miles E of Sauk River Bypass,E Main St
S.69.4.15.002,St. Louis,CSAH 49,Comstock Lake Rd
S.69.4.150.001,St. Louis,CSAH 21,S 4th Ave E
S.69.4.151.001,St. Louis,West of 3rd Ave W,CSAH 21
S.69.4.152.001,St. Louis,E Sharidan St,E Sharidan St
S.69.4.153.001,St. Louis,S Central Ave,S 4th Ave E
S.69.4.154.001,St. Louis,E James St,E Camp St
S.69.4.155.001,St. Louis,S Central Ave,E Camp St
S.69.4.156.001,St. Louis,S Central Ave,North Shore (MN-1)
S.69.4.158.001,St. Louis,E White St,E Sheridan St (MN-1)
041-010,Freeborn,CSAH 26,ALLEY BLOCK 2
S.69.4.16.002,St. Louis,MN-73,CSAH 5
S.69.9.3421.001,St. Louis,Palm Rd,""
S.69.4.24.001,St. Louis,MN-1,Ashawa Rd (CSAH 115)
S.18.4.33.001,Crow Wing,Irene Avenue,3rd Ave SW/TH 210
034-030,Freeborn,S,N LIMS LONDON
S.43.7.78.001,McLeod,McLeod CTH 1/Babcock Ave,McLeod CTH 109/Central Ave
S.69.4.17.001,St. Louis,Miller Trunk Hwy,W Arrowhead Rd
S.86.4.7.005,Wright,0.26 miles S of 4th St W,Hwy 55
S.56.4.100.001,Otter Tail,USTH 59,USTH 59
S.73.4.68.001,Stearns,Co Rd 10,0.5 miles E of Co Rd 10
HEN.90,Hennepin,@ CSAH 13,N OF CSAH 13 TO N COUNTY LINE
S.86.4.5.005,Wright,Ash St W,Elm St W
S.49.4.34.002,Morrison,W LIMITS BUCKMAN,E LIMITS BUCKMAN
S.18.7.115.001,Crow Wing,TH 371 (Southern),TH 371 (Northern)
S.73.4.80.001,Stearns,0.56 miles S of Co Rd 14,Co Rd 14
081-010,Freeborn,CSAH #13,N LIMITS GLENVILLE
S.43.4.9.001,McLeod,USTH 212,3rd St NE
S.73.4.53.001,Stearns,Railroad Ave,1st St
043-010,Freeborn,CSAH 12,CSAH 17
S.69.9.3146.001,St. Louis,Ely Babbitt Rd,""
S.47.4.2.002,Meeker,MNTH 55,140th St
S.73.4.9.001,Stearns,Hwy 22,0.49 miles E of Hwy 22
S.69.4.24.003,St. Louis,CSAH 426,CSAH 422
S.69.4.24.004,St. Louis,CSAH 422,Orr Buyck Rd (CSAH 23)
S.69.9.8115.001,St. Louis,Birch Point Rd,Bliss Rd / CR 65
S.18.4.11.002,Crow Wing,TH 371,Gravdahl Dr
S.73.4.64.001,Stearns,W Riverside Ave,6th St NW
S.04.4.29.001,Beltrami,3rd Ave N,Hwy 71
S.18.7.110.001,Crow Wing,CSAH 12,Beach Road (0.65 miles East of Lake Rd)
S.73.4.65.002,Stearns,E Co Rd 13,S 12th Ave E
S.56.4.80.002,Otter Tail,CSAH 34,Perham Corp Lmts
S.69.4.25.006,St. Louis,CSAH 22,Driveway
044-010,Freeborn,MORIN ST,JOHNSON ST
S.43.4.9.005,McLeod,McLeod CTH 1,Mc Leod CTH85/Kinsley St S
017-030,Freeborn,W LIMS CONGER,CSAH 12
S.69.4.28.001,St. Louis,CSAH 83,CSAH 70
S.73.4.9.007,Stearns,Ridgeway Dr,River St
S.69.4.29.003,St. Louis,Spruce St,CSAH 70
S.56.4.35.008,Otter Tail,Dent Corp Lmts,MNTH 108
S.56.4.46.001,Otter Tail,MNTH 29,Parkers Prairie Corp Lmts
S.69.9.3076.001,St. Louis,"",Brit Bypass
S.47.4.25.001,Meeker,USTH 4/Atlantic Ae,280th St
S.43.4.7.005,McLeod,4th Ave NW,MNTJ 12
S.69.4.30.001,St. Louis,U.S. Rte 2,Elm St (MN-73)
S.69.4.32.001,St. Louis,Miller Trunk Hwy,N Arlington Ave ( CSAH 90)
S.49.7.285.001,Morrison,CSAH 5,CSAH 204
S.69.4.34.001,St. Louis,W Arrowhead Rd,Martin Rd (CSAH 9)
S.69.4.124.001,St. Louis,US Hwy 53,Vermilion Dr W
S.73.4.66.001,Stearns,Hwy 4,E Hoffman St
S.43.4.4.002,McLeod,Dorans St,147th St
S.69.4.37.001,St. Louis,Woodland Ave (CSAH 9),Martin Rd (CSAH 10)
S.69.9.3049.001,St. Louis,Miroy Rd,""
S.69.9.3013.001,St. Louis,Loon Point Rd,Segment terminates at road end
S.69.4.38.002,St. Louis,N Tischer Rd (CSAH 40),E Pioneer Rd (CSAH 40)
S.49.4.27.001,Morrison,CSAH 26,N LIMITS ROYALTON
S.69.4.4.001,St. Louis,MN-194,Beyer Rd (CSAH 259)
S.43.4.109.001,McLeod,Elm St N,McLeod CTH 23/Pine St S
S.09.4.12.002,Carlton,East side of Kettle River bridge/west side of town,East border of Kettle River
045-090,Freeborn,SO LIM GENEVA,CSAH 35
S.56.7.145.001,Otter Tail,CSAH 72,CSAH 1
S.69.4.126.001,St. Louis,Main St (MN-1),Main St (MN-1)
S.73.4.11.002,Stearns,10th St SE,Co Rd 39
S.73.4.2.002,Stearns,3rd Ave S,7th St N
S.69.4.40.002,St. Louis,CSAH 4,CSAH 42
S.55.4.12.000,Olmsted,5th Rd NW/Lake Shady Ave N,Olmsted CTH 12/W White Bridge Rd NW
S.73.7.123.001,Stearns,Lake Ave N,Hwy 23
033-040,Freeborn,W LIM HARTLAND,BROADWAY
S.86.4.5.006,Wright,Elm St W,0.18 milse SW of Lakeshore Cir
S.09.4.13.004,Carlton,Barnum city border (south),Main St/CR 6
042-010,Freeborn,RAILROAD AVENUE,CSAH 13
035-030,Freeborn,W LIM GENEVA,CSAH 45
001-020,Freeborn,TH 65,CSAH 26
S.86.4.8.004,Wright,1st St,65th St NW
S.49.4.12.002,Morrison,CSAH 16,E LIMITS SOBIESKI
S.69.4.47.001,St. Louis,Aerie Lake Rd,CSAH 133
S.56.4.12.001,Otter Tail,CSAH 82,Dalton Corp Lmts
S.69.7.396.001,St. Louis,Differding Point,CSAH 97
S.69.4.48.001,St. Louis,U.S. Rte 2,Sheridan Rd
S.69.4.48.002,St. Louis,Sheridan Rd,Miller Trunk Hwy
S.56.4.1.006,Otter Tail,0.8 Mile E of CSAH 14,Ottertail Corp Lmts
S.49.4.101.001,Morrison,CSAH 24,CSAH 26
S.69.9.3066.001,St. Louis,Hwy 73,Hwy 73
HEN.83,Hennepin,1/4 mi west of CR 10,CR 116
S.69.4.49.002,St. Louis,CSAH 5664,Rudy Perpich Memorial Dr (CSAH 4)
S.69.4.5.001,St. Louis,CSAH 8,CSAH 29
S.73.4.9.005,Stearns,Co Rd 50,Co Rd 155
S.13.4.1.002,Chisago,Intersection of W 4th St and Ramp Entrance to I-35,Intersection of W 4th St and S Bremer Ave
HEN.56,Hennepin,N OF LUCE LINE TO S OF CSAH 6,@ CSAH 6-W JCT
S.69.7.496.001,St. Louis,Hwy 133,Spruce St
034-061,Freeborn,MOSCOW ST,N LIMS OAKLAND
025-020,Freeborn,W LIM MANCHESTER,TH 13
S.56.4.8.001,Otter Tail,USTH 10,Perham Corp Lmts
S.69.9.3074.001,St. Louis,Oshborn Rd,Segment terminates at end of road
S.69.7.999.001,St. Louis,W Pike Lake Rd,Helm Rd
S.69.4.51.001,St. Louis,CSAH 23,Westside Dr
S.73.7.157.003,Stearns,0.07 miles SE of 3rd Ave NE,0.31 miles SE of 7th Ave NE
S.69.4.52.001,St. Louis,CSAH 5,CSAH 7
026-031,Freeborn,CSAH 41,N LIM HAYWARD
S.69.4.54.001,St. Louis,US Hwy 53,CSAH 56
033-070,Freeborn,DM&E RR,TH 13
S.04.4.30.002,Beltrami,Carl Ave,Hwy 71
S.55.4.10.001,Olmsted,USTH 52,Valley View La
S.69.4.56.003,St. Louis,U.S. Rte 2,Piedmont Ave
S.69.4.57.001,St. Louis,Intersection of 1st Ave and E 40th St,Intersection of 1st Ave and Town Line Rd
S.69.4.8.001,St. Louis,Intersection of E 5th Avenue and MN 73,T-Intersection of E 5th Avenue and Riverside Park Dr
S.69.4.59.001,St. Louis,T-Intersection of Melrude Rd and Comstock Lake Rd,Intersection of W Melrude Rd and U.S. Route 53
S.69.4.6.001,St. Louis,Intersection of N State Hwy 33 and Maple Grove Rd,Intersection of U.S. Route 2 and Maple Grove Rd
S.69.7.789.001,St. Louis,Iron Junction Rd,Hwy 7
S.69.4.6.003,St. Louis,Intersection of U.S. Route 53 and Maple Grove Rd,T-Intersection of Maple Grove Rd and Solway Rd
S.18.4.1.004,Crow Wing,Broadway (Eastern extent),0.05 miles East of Bungalo Dr
S.73.4.58.001,Stearns,Co Rd 2,0.24 miles E of Co Rd 2
S.69.4.62.001,St. Louis,Intersection of Admiral Rd and Co Rd 788,Intersection of Admiral Rd and State Hwy 37
024-030,Freeborn,CSAH 31,N LIMS CLARKS GROVE
S.43.7.83.001,McLeod,McLeod CTH 105/16th St W,McLeod CTH 3
S.69.7.651.001,St. Louis,Old Hwy 77,Dead End
S.04.4.92.001,Beltrami,Summit Ave,Brandl Dr NW
S.69.4.65.003,St. Louis,Intersection of Hwy 65 and Hwy 25,Intersection of Mud Hole Rd and Taconite
S.43.4.25.001,McLeod,USTH 212,85th Ct
S.69.4.66.001,St. Louis,Intersection of 3rd Ave NW and 13th St NW,.19 Miles East of Intersection of 1st Ave NW and McNiven Rd
S.69.9.3047.001,St. Louis,Britt Bypass,""
S.69.4.66.003,St. Louis,T-Intersection of McNiven Rd and Colombe Rd,Intersection of McNiven Rd and Hwy 25
S.69.4.67.001,St. Louis,Intersection of 4th Ave SE and U.S. Route 169,T-Intersection of McNiven Rd and 1st Ave NW
S.56.4.1.007,Otter Tail,Ottertail Corp Lmts,MNTH 78
S.18.4.30.001,Crow Wing,4th St,2nd St
S.73.4.17.004,Stearns,0.25 miles N of 421st St,0.25 miles E of Co Rd 167
S.56.4.96.001,Otter Tail,MNTH 108,USTH 59
S.04.4.47.001,Beltrami,Hwy 71,Hwy 71
S.73.7.186.001,Stearns,Main St S,0.65 miles E of Main St S
S.04.4.90.001,Beltrami,U.S. Rte 2,Stevens Ave
S.69.4.25.008,St. Louis,CSAH 912,East of 1st St E
S.69.9.3075.001,St. Louis,"",Brit Bypass
S.09.4.1.007,Carlton,NB Lane I35,Harney Rd
S.69.7.233.002,St. Louis,Intersection of W Donnywood Rd and Britt Bypass,.37 Miles South of Intersection of W Donnywood Rd and Britt Bypass
S.69.9.8169.001,St. Louis,Co Highway 68,Segment terminates at end of road
S.73.4.18.002,Stearns,South St,0.3 miles SW of 270th St
017-040,Freeborn,CSAH 12,E LIMS CONGER
S.04.4.36.002,Beltrami,Shevlin Ave SW,Clark Ave S
S.69.4.78.001,St. Louis,Intersection of MN 1 and Brown Rd,T-Intersection of Beatty Rd and Wakely Rd
S.73.4.8.002,Stearns,Broadway St,Hwy 23
S.73.4.10.001,Stearns,190th St NE,Co Rd 16
S.73.4.2.004,Stearns,Co Rd 75,1st Ave NE
S.49.4.39.001,Morrison,MN TH 25,E LIMITS PIERZ
S.69.4.8.003,St. Louis,T-Intersection of Co Hwy 8 and Hingeley Rd,Intersection of Co Hwy 8 and Co Hwy 31
S.69.4.8.005,St. Louis,Intersection of Co Hwy 8 and Co Hwy 7,Intersection of Co Hwy 8 and U.S. Route 53
S.86.4.16.002,Wright,0.23 miles SouthWest of 8th Street SE,Woodland Road
S.69.4.81.001,St. Louis,Intersection of Co Hwy 81 and Co Hwy 526,Intersection of Connors Rd and Co Hwy 5
S.69.4.83.001,St. Louis,Intersection of Co Hwy 230 and Co Hwy 52,T-Intersection of Co Hwy 83 and Co Hwy 27
S.56.4.17.001,Otter Tail,CSAH 4,Vergas Corp Lmts
S.69.4.86.001,St. Louis,Intersection of U.S. Route 2 and Hingeley Rd,Intersection of Hingeley Rd and MN 73
S.69.4.96.001,St. Louis,T-Intersection of Ely Lake Dr and Miller Trunk Rd,T-Intersection of Co Hwy 97 and Ely Lake Dr
S.69.9.3092.001,St. Louis,Boundary St,""
S.69.4.89.001,St. Louis,T-Intersection of Getchell Rd and Wildrose Trail,Intersection of N 57th Avenue and Cody St
S.73.4.13.006,Stearns,370th St,0.08 miles N of Donna St
S.69.4.9.002,St. Louis,Intersection of Martin Rd and Rice Lake Rd,Intersection of E 4th St and North 6th Ave E
S.69.4.90.001,St. Louis,Intersection of W Arrowhead Rd and N Arlington Ave,Intersection of S Arlington Rd and Trinity Rd
S.69.4.91.001,St. Louis,Intersection of Haines Rd and Airport Rd,Intersection of N 40th Ave W and Grand Ave
S.18.4.20.001,Crow Wing,W Washington St (TH 210),Jackson St
S.69.4.93.001,St. Louis,T-Intersection of Gavin Rd and Wilson Rd,Intersection of E Central Lakes Rd and U.S. Route 53
014-012,Freeborn,TH 69,NO LIM EMMONS
S.69.4.64.001,St. Louis,Intersection of Pennsylvania Ave and U.S. Route 169,Intersection of Pennsylvania Ave and Forest St.
S.69.4.95.002,St. Louis,T-Intersection of Bodas Rd and Clyde Rd,T-Intersection of Bodas Rd and Lost Lake Rd
S.73.7.158.001,Stearns,Hwy 23,Co Rd 58
012-040,Freeborn,CSAH 17,N LIM CONGER
S.73.4.38.001,Stearns,0.1 miles W of Freeport S,1st St
S.69.8.471.001,St. Louis,Rearing Pond Rd,Sturgeon Rd / CR 65
S.86.4.3.004,Wright,Cokato Street W,0.03 miles North of Field Crest Blvd
S.69.9.3131.001,St. Louis,E Donnywood Rd,W Donnywood Rd
S.69.7.1011.001,St. Louis,1.14 Miles West of Intersection Co Hwy 5 and Condor Rd,Intersection of Bailey Rd and Elmer Rd
S.69.7.1012.001,St. Louis,Intersection of MN 73 and W Savanna Rd,.5 Miles East of Intersection of W Savanna Rd and Heikkila
S.69.7.1013.001,St. Louis,T-Intersection of Sandstrom Rd and Taylor Rd,1.25 Miles North of Intersection of Sandstrom Rd and Taylor Rd
S.69.7.337.001,St. Louis,Vermillion Trl,Faber Rd
S.56.4.42.001,Otter Tail,MNTH 29,Parkers Prairie Corp Lmts
026-030,Freeborn,SO LIM OF HAYWARD,CSAH 41
S.69.7.144.001,St. Louis,"",""
S.69.7.157.001,St. Louis,T-Intersection of Dass Rd and Boy Scout Rd,""
S.69.7.160.002,St. Louis,T-Intersection of Arkola Junction Rd and Arkola Rd,1 Mile South of T-Intersection of Arkola Junction Rd and Arkola Rd
S.69.7.161.001,St. Louis,T-Intersection of U.S. Route 2 and Old Hwy 2,T-Intersection of U.S. Route 2 and Old Hwy 2
S.69.7.163.001,St. Louis,T-Intersection of Marvin Rd and Co Hwy 5,.34 Miles West of T-Intersection of Marvin Rd and Co Hwy 5
S.69.7.164.001,St. Louis,T-Intersection of Benson Rd and Alborn Junction Rd,1.49 Miles West of T-Intersection of Benson Rd and Alborn Junction Rd
S.69.7.165.002,St. Louis,T-Intersection of Swan Lake Rd and Co Hwy 5,Intersection of Swan Lake Rd and McGonagle Rd
S.69.7.166.001,St. Louis,1 Mile West of Intersection of Benson Rd and Co Hwy 5,T-Intersection of Co Hwy 47 and Co Hwy 166
S.69.7.167.001,St. Louis,T-Intersection of Co Hwy 166 and Co Hwy 167,.56 West of Co Hwy 166 and Co Hwy 167
S.69.7.169.001,St. Louis,T-Intersection of Gravell Rd and Co Hwy 8,.55 Miles North of T-Intersection of Gravell Rd and Co Hwy 8
S.69.7.170.001,St. Louis,T-Intersection of McGonagle Rd and Co Hwy 8,.76 Miles North of Swan Lake Rd and McGonagle Rd
S.69.7.171.001,St. Louis,Intersection of Benson Rd and Co Hwy 8,1.2 Miles North of Benson Rd and Hill Rd
S.69.7.172.001,St. Louis,T-Intersection of Owl Ave and Mottonen Rd,.40 Miles East of T-Intersection of Owl Ave and Mottonen Rd
