,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
2785,S.25.4.5.001,,1,1,6,,,6354.956329,,Goodhue,Greater MN,25,4,CSAH,5,,,State Highway 58,Territorial Road,,,2011,1120,1.203590214,2.46,5,4.15,Rural,Rural,RG,Rural,YES,nv,Agricultural,Paved,2-lane,Undivided,2-lane Undivided,55,Statutory,None,None,11,Gravel,8,Undivided,NV,1,Present,Present,None,None,None,15,0,61,54,0,130,108.0101836,"A few locations throughout with Edge Risk of 2C, Guardrail Present where needed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,1,0,0,1,0,0,4,,0,0,0,1,1,0,1,0,,NA,NA,NA,NA,NA
3287,S.56.4.91.001,,1,1,2,,,359.4764583,,Otter Tail,Greater MN,49,4,CSAH,91,,Main St,S 2nd Ave,Railway Ave,,,2015,715,0.068082663,0.09,0,0,Small Town,Rural,RG,Rural,YES,nv,Commercial,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2013),None,None,12,Curb & Gutter,6,Paint,NV,1,None,Present,Both Sides,Both Sides,None,4,3,0,0,0,7,102.8161905,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3397,S.73.4.30.002,,1,1,3,,,1592.313947,,Stearns,Greater MN,73,4,CSAH,30,,2nd Ave E,Western St,0.3miles E of Western St,,,2013,425,0.301574611,0.23,1,3.32,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,45,Imagery (2016),None,None,12,Gravel,3.5,Undivided,NV,1,Present,Present,None,None,None,4,0,3,22,2,31,102.7937991,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3291,S.56.4.99.001,,1,1,2,,,467.8124684,,Otter Tail,Greater MN,49,4,CSAH,99,,Main St,2nd Ave SW,1st St W,,,2015,465,0.088600846,0.08,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Paved,15,None,NV,1,None,None,Both Sides,None,None,5,2,2,0,0,9,101.5791652,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
1771,044-020,,1,1,6,044-020,N,1161.801142,,Freeborn,Greater MN,24,4,CSAH,44,HARTLAND,,JOHNSON ST NORTH AND EAST,DM&E RR,,,2013,210,0.220038095,0.08,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,10,Undivided,NV,NV,None,None,Both Sides,Both Sides,None,7,2,12,0,1,22,99.98268707,No Streetview Images,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3290,S.56.4.98.001,,1,1,2,,,377.3952837,,Otter Tail,Greater MN,49,4,CSAH,98,,2nd St SW,2nd Ave SW,1st Ave SW,,,2015,1540,0.071476379,0.2,0,0,Small Town,Rural,RG,Rural,YES,nv,Commercial,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2013),None,None,12,Curb & Gutter,6,None,NV,1,None,None,Both Sides,Both Sides,None,4,3,0,0,0,7,97.93445122,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,170000,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
16,S.13.4.19.002,,1,1,1,,,6286.484558,,Chisago,Greater MN,13,4,CSAH,19,Stacy,Stacy Trail,T-Intersection of Falcon Ave N and Fawn Lake Dr N,.26 Miles East of Intersection Stacy Trail and Forest Blvd,,,2013,5035,1.190622075,10.94,2,1.68,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory ,None,None,12,Paved,9,Undivided,NV,1,Present,Present,None,None,None,12,14,29,NV,NV,55,46.19433919,,16,0,8,0,0,8,0,4,5,0,3,0,0,0,0,2,7,7,16,1003600,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
3002,S.43.4.2.004,,1,1,8,,,2430.838224,,McLeod,Greater MN,43,4,CSAH,2,,McLeod CTH 2,McLeod CTH 10/Lake Ave S,MNTH 7,,,2009,940,0.460386027,0.79,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,6,Undivided,NV,1,None,Present,One Side,One Side,None,11,2,28,0,4,45,97.74406114,,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
2978,S.43.4.102.001,,1,1,8,,,1054.918694,,McLeod,Greater MN,43,4,CSAH,102,,3rd Ave S,3rd St ,Market St/2nd St N,,,2013,225,0.199795207,0.08,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,6,Undivided,NV,1,None,Present,None,Both Sides,None,11,0,8,0,0,19,95.09737634,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
19,S.13.4.20.001,,1,1,1,,,2076.390879,,Chisago,Greater MN,13,4,CSAH,20,Lindstrom,N Lakes Trail,Intersection of Lake Blvd and N Lakes Trail,Intersection of 4th Ave N and N Lakes Trail,,,2015,2285,0.393255848,1.64,1,2.54,Urban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory ,None,None,Unknown,None,NV,Undivided,NV,2S,None,Present,Both Sides,None,None,8,1,20,NV,1,30,76.2862145,2009 Google Earth Imagery,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,3,4,110400,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
1797,051-020,,1,1,6,051-020,N,1352.323667,,Freeborn,Greater MN,24,4,CSAH,51,ALDEN,,MAIN ST-POWERS AV,POWERS AV-HEMMINGSEN AVE.,,,2013,400,0.256121907,0.19,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,9,Undivided,NV,NV,None,Present,Both Sides,None,None,2,0,21,0,1,24,93.70537769,No Streetview Images,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
21,S.13.4.20.003,,1,1,1,,,8293.839613,,Chisago,Greater MN,13,4,CSAH,20,Taylor Falls,Furuby Rd,T-Intersection of Victory Ln and Furuby Rd,Intersection of 1st St and Bench St,,,2013,1065,1.570802957,3.05,7,4.46,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2009),None,None,11,None,NV,Undivided,NV,3,Present,Present,None,None,None,20,5,12,NV,NV,37,23.55483215,2009 Google Earth Imagery,7,0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,1,6,7,133800,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
1606,012-020,,1,1,6,012-020,N,1354.234276,,Freeborn,Greater MN,24,4,CSAH,12,CONGER,,S LIM CONGER,CSAH 17,,,2013,360,0.256483764,0.17,0,0,Small Town,Rural,RG,Rural,YES,nv,Mixed Use,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2014),None,None,12,Curb & Gutter,9.5,Undivided,NV,NV,None,Present,Both Sides,None,None,3,0,15,0,6,24,93.57317431,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
1766,040-010,,1,1,6,040-010,N,565.1375471,,Freeborn,Greater MN,24,4,CSAH,40,MANCHESTER,,CSAH 25,MCKINLEY ST MANCHSTR,,,2013,210,0.107033626,0.04,0,0,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,None,0,Undivided,NV,NV,None,None,Both Sides,None,None,4,2,3,0,1,10,93.4285826,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
1589,005-040,,1,1,6,005-040,N,2393.102422,,Freeborn,Greater MN,24,4,CSAH,5,GLENVILLE,,TH 65,CSAH 13,,,2013,605,0.453239095,0.5,1,2.21,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2009),None,None,12,Curb & Gutter,9,Undivided,NV,NV,None,Present,Both Sides,One Side,None,12,1,27,0,2,42,92.66632215,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,94800,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
25,S.13.4.22.001,,1,1,1,,,26138.02539,,Chisago,Greater MN,13,4,CSAH,22,Wyoming,Wyoming Trail,T-Intersection of Forest Blvd and Wyoming Trail,Intersection of E Viking Blvd and Wyoming Trail,,,2014,3860,4.950383597,34.87,7,1.41,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,55,Imagery (2011),None,None,12,Paved,7,Undivided,NV,3,Present,Present,None,None,None,26,11,64,3,NV,104,21.00847297,,17,1,5,1,0,8,0,3,4,0,2,0,0,0,1,2,3,11,17,1276800,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
216,S.69.4.24.008,,1,1,1,,,171.0142676,,St. Louis,Greater MN,69,4,CSAH,24,Cook,CSAH 24,CSAH 24,E vermilion Dr,,,2015,1335,0.032389066,0.08,1,30.87,Small Town,Rural,RG,Rural,YES,YES,Commercial,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,Variable,None,None,2C,Present,Present,None,None,None,2,1,0,0,0,3,92.62385074,Curve Segment? ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
3288,S.56.4.95.001,,1,1,2,,,756.9760149,,Otter Tail,Greater MN,49,4,CSAH,95,,"E Colfax St, N Douglas Ave",MNTH 29,CSAH 42,,,2015,1125,0.143366669,0.29,0,0,Small Town,Rural,RG,Rural,YES,nv,Commercial,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,6,None,NV,1,None,None,None,Both Sides,None,6,4,2,0,1,13,90.67658506,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
29,S.13.4.24.001,,1,1,1,,,10308.20642,,Chisago,Greater MN,13,4,CSAH,24,Chisago City,Bennet Ave/Old Towne Rd,T-Intersection of Old Towne Rd and Chisago Blvd,Intersection of Lake Blvd and Bennet Rd,,,2015,4690,1.952311821,16.71,1,0.51,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,45,Imagery (2016),None,None,12,Paved,6,Undivided,NV,3,Present,Present,None,None,None,30,7,65,1,NV,103,52.75796564,,22,2,6,0,0,7,1,4,1,0,0,0,0,0,2,1,6,13,22,1973400,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
2993,S.43.4.16.001,,1,1,8,,,4351.485081,,McLeod,Greater MN,43,4,CSAH,16,,McLeod CTH 16/Silver Ave/Main St W,MNTH 7,McLeod CTH 2,,,2009,815,0.824144902,1.23,2,2.43,Small Town,Rural,RG,Rural,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,12,Curb & Gutter,6,Undivided,NV,1,None,Present,Both Sides,Both Sides,None,18,16,39,0,0,73,88.57665666,The cross section is inconsistent,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,23400,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
31,S.13.4.25.002,,1,1,1,,,8981.020225,,Chisago,Greater MN,13,4,CSAH,25,Lindstrom,Olinda Trail,T-Intersection of 289th Ct and Olinda Trail,Intersection of Olinda Trail and Lake Blvd,,,2015,6715,1.7009508,20.84,3,1.76,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,35,Imagery (2009),None,None,12,Paved,9,Undivided,NV,3,Present,Present,None,One Side,None,28,9,29,NV,3,69,40.56554722,2009 Google Earth Imagery,34,0,3,0,0,24,0,4,2,0,0,0,0,0,0,3,6,25,34,1227000,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,1,0,0
799,S.69.7.571.001,,1,1,1,,,1788.38369,,St. Louis,Greater MN,69,7,CR,571,,CR 571 - S Pike Lake Rd,Solway Rd,S. Pike Lake Rd,,,2011,155,0.338709032,0.1,3,8.86,Small Town,Rural,RG,Rural,YES,YES,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory,None,None,11,None,0,Undivided,NV,3,Present,Present,None,None,None,2,0,28,0,0,30,88.5715973,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
1726,031-040,,1,1,6,031-040,N,2392.705947,,Freeborn,Greater MN,24,4,CSAH,31,CLARKS GROVE,,C.N.W. RAILROAD,CSAH 45,,,2013,1420,0.453164005,1.17,0,0,Small Town,Rural,RG,Rural,YES,nv,Mixed Use,Paved,2-Lane,Undivided,2-Lane Undivided,30,Imagery (2016),None,None,12,Curb & Gutter,9,Undivided,NV,NV,None,Present,Both Sides,One Side,None,5,5,19,0,11,40,88.26826393,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,257000,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA
34,S.13.4.3.002,,1,1,1,,,13450.41027,,Chisago,Greater MN,13,4,CSAH,3,Rush City,530st St,Intersection of Government Rd and 530th St,T-Intersection of River Rd and 530th St,,,2013,225,2.547426187,1.05,0,0,Rural,Rural,NA,NA,NO,nv,Agricultural,Gravel,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,NV,N/A (Gravel),N/A (Gravel),NV,NV,NV,,,,,,,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7800,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
35,S.13.4.30.001,,1,1,1,,,1339.030568,,Chisago,Greater MN,13,4,CSAH,30,Wyoming,Forest Blvd,Intersection of E Viking Blvd and Forest Blvd,T-Intersection of Forest Blvd and 4th Ave,,,2009,6800,0.253604274,3.15,0,0,Urban,Urban,UG,UG,YES,nv,Commercial,Paved,2-Lane,Undivided,2-Lane Undivided,40,Imagery (2015),None,None,12,Paved,9,Undivided,NV,3,Present,Present,None,None,None,4,6,NV,NV,NV,10,39.43151207,,4,0,3,0,0,4,0,1,3,0,1,0,0,0,0,0,1,3,4,110400,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,1,0,0
36,S.13.4.30.002,,1,1,1,,,32416.87837,,Chisago,Greater MN,13,4,CSAH,30,Wyoming,Forest Blvd,T-Intersection of Forest Blvd and 4th Ave,T-Intersection of Forest Blvd and 300th St,,,2013,4935,6.139560298,55.3,2,0.33,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory ,None,None,12,Paved,9,Undivided,NV,1,Present,Present,None,None,None,12,2,36,4,NV,54,8.795418137,,21,0,12,0,0,10,0,7,6,0,4,0,0,0,0,6,7,8,21,1691400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
37,S.13.4.30.003,,1,1,1,,,7927.489642,,Chisago,Greater MN,13,4,CSAH,30,Stacy,Forest Blvd,T-Intersection of Forest Blvd and 300th St,T-Intersection of Forest Blvd and 315th St,,,2013,5505,1.501418493,15.08,1,0.67,Suburban,Urban,UG,UG,YES,nv,Mixed Use,Paved,2-Lane,Undivided,2-Lane Undivided,40,Imagery (2015),None,None,12,Paved,8,Undivided,NV,2C,Present,Present,None,None,None,14,14,15,3,1,47,31.30373059,,20,1,5,0,0,9,1,4,3,0,2,0,0,1,0,4,2,13,20,11955400,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,1,0,0
38,S.13.4.30.004,,1,1,1,,,30953.72738,,Chisago,Greater MN,13,4,CSAH,30,Stacy/North Branch,Forest Blvd,T-Intersection of 315th St and Forest Blvd,Intersection of 372nd St and Forest Blvd,,,2013,4135,5.862448368,44.24,3,0.51,Suburban,Urban,UG,UG,YES,nv,Residential,Paved,2-Lane,Undivided,2-Lane Undivided,30,Statutory ,None,None,12,Paved,9,Undivided,NV,2C,Present,Present,None,None,None,19,3,66,8,NV,96,16.37541075,,27,1,14,0,0,7,0,1,3,0,1,0,0,0,1,2,5,19,27,1513200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0
